Name,Volume,CS,Writhe,Bridge,Particle,Type
L7a5,6.598951539438494,-0.17030146675109015,,0,u,Quark
L6a4,7.327724753417753,3.3746733288599154e-17,,0,d,Quark
L10n95,9.531879835800977,0.1028108729746346,,0,s,Quark
L11n64,11.517101106360435,0.008283496453811793,,0,c,Quark
L10a141,12.276277578170498,-0.21535780247714986,,0,b,Quark
L11a62,15.359983551986321,-0.11109987422749854,,0,t,Quark
6_1,3.1639632288831434,0.15597701674351508,,0,mu,Lepton
7_1,0.0,0.10714285714285716,,0,tau,Lepton
