name,volume,lnJ,dlnJ_charm,det,crossing,r2,improvement
L11n250{1},13.378794539606092,2.950115095911319,0.052671778518065704,52,11,0.4757259701452625,0.03492813150985696
L11n250{0},13.378794539606092,2.950115095911319,0.052671778518065704,52,11,0.4757259701452625,0.03492813150985696
L11n160{0},13.253908770462468,2.945135823250389,0.04769250585713536,50,11,0.4590941660628691,0.018296327427463566
L11n160{1},13.253908770462468,2.945135823250389,0.04769250585713536,50,11,0.4590941660628691,0.018296327427463566
"L11n291{1,1}",13.318458109849056,2.9791088216557684,0.08166550426251495,52,11,0.45726679162893935,0.016468952993533792
"L11n291{0,1}",13.318458109849056,2.9791088216557684,0.08166550426251495,52,11,0.45726679162893935,0.016468952993533792
"L11n291{1,0}",13.318458109849056,2.9791088216557684,0.08166550426251495,52,11,0.45726679162893935,0.016468952993533792
"L11n291{0,0}",13.318458109849056,2.9791088216557684,0.08166550426251495,52,11,0.45726679162893935,0.016468952993533792
"L11n407{1,0}",13.465863542503,3.1216267208457076,0.22418340345245413,64,11,0.44578750162792735,0.004989662992521793
"L11n407{0,1}",13.465863542503,3.1216267208457076,0.22418340345245413,64,11,0.44578750162792735,0.004989662992521793
"L11n407{1,1}",13.465863542503,3.1216267208457076,0.22418340345245413,64,11,0.44578750162792735,0.004989662992521793
"L11n407{0,0}",13.465863542503,3.1216267208457076,0.22418340345245413,64,11,0.44578750162792735,0.004989662992521793
L11n170{0},13.245997432361598,3.0402875012156234,0.14284418382236996,54,11,0.44534886897741166,0.004551030342006102
L11n170{1},13.245997432361598,3.040287501215623,0.14284418382236952,54,11,0.44534886897741166,0.004551030342006102
L11n241{1},13.18178658506228,3.0234595889065234,0.12601627151327,56,11,0.444787081396806,0.003989242761400447
L11n241{0},13.18178658506228,3.0234595889065234,0.12601627151327,56,11,0.444787081396806,0.003989242761400447
L11n114{1},13.18178658506228,3.0234595889065234,0.12601627151327,56,11,0.444787081396806,0.003989242761400447
L11n114{0},13.18178658506228,3.0234595889065234,0.12601627151327,56,11,0.444787081396806,0.003989242761400447
"L11n444{1,1,0}",13.128437243481084,3.0094185144551653,0.11197519706191184,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{0,0,0}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{1,0,0}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{0,1,0}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{1,1,1}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{0,0,1}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{1,0,1}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
"L11n444{0,1,1}",13.128437243481084,3.0094185144551657,0.11197519706191228,56,11,0.4443705110447016,0.0035726724092960405
L11a331{1},13.231906018444416,3.0519575817157123,0.15451426432245885,80,11,0.44435602792998186,0.003558189294576297
L11a331{0},13.231906018444416,3.0519575817157127,0.1545142643224593,80,11,0.44435602792998186,0.003558189294576297
L10n29{1},13.318458109849056,3.0948824320306287,0.1974391146373753,52,10,0.44396919779343413,0.003171359158028575
