name,link,Vol,Sig
Up,"L6a5{0,0}",5.33348956689812,2
Down,"L6a4{0,0}",7.327724753417752,0
Strange,"L9a45{0,0}",9.66534641935737,0
Charm,"L9a49{0,0}",10.562806312097178,0
Bottom,"L10n65{1,1}",12.005951173197468,2
Top,"L11a520{1,1}",20.90470795498716,-2
